--- ANÁLISIS DE TEMAS LDA (K=300) ---

==================== TEMA 0 ====================
  5. largo                (Prob: 0.030670)
  6. bien                 (Prob: 0.017545)
  7. escapar              (Prob: 0.017545)
  8. ducha                (Prob: 0.013169)
  9. situado              (Prob: 0.013169)
  10. charlar              (Prob: 0.013169)
  11. experimentar         (Prob: 0.013169)
  12. preferir             (Prob: 0.013169)
  13. esconder             (Prob: 0.008794)
  14. formación            (Prob: 0.008794)
  15. insignia             (Prob: 0.008794)
  16. familiar             (Prob: 0.008794)
  17. trajera              (Prob: 0.004419)
  18. geopolítico          (Prob: 0.004419)
  19. prusián              (Prob: 0.004419)
  20. adulto               (Prob: 0.004419)

==================== TEMA 20 ====================
  1. ser                  (Prob: 0.231343)
  2. médico               (Prob: 0.025750)
  3. principio            (Prob: 0.020611)
  4. comandante           (Prob: 0.020611)
  5. dar él               (Prob: 0.015471)
  6. andar                (Prob: 0.015471)
  7. niña                 (Prob: 0.010331)
  8. llamar               (Prob: 0.010331)
  9. sala                 (Prob: 0.010331)
  10. sabor                (Prob: 0.010331)
  11. mínimo               (Prob: 0.010331)
  12. escritorio           (Prob: 0.010331)
  13. mea                  (Prob: 0.010331)
  14. sollozar             (Prob: 0.010331)
  15. sacudir              (Prob: 0.010331)
  16. suplico              (Prob: 0.005191)
  17. haberno              (Prob: 0.005191)
  18. desmayar él          (Prob: 0.005191)
  19. ame                  (Prob: 0.005191)
  20. erigiero             (Prob: 0.005191)

==================== TEMA 21 ====================
  1. vez                  (Prob: 0.105280)
  2. varios               (Prob: 0.045800)
  3. terror               (Prob: 0.027498)
  4. horrible             (Prob: 0.027498)
  5. nariz                (Prob: 0.018347)
  6. cinco                (Prob: 0.013772)
  7. tensión              (Prob: 0.013772)
  8. espectáculo          (Prob: 0.013772)
  9. situación            (Prob: 0.013772)
  10. lástima              (Prob: 0.009197)
  11. mirar                (Prob: 0.009197)
  12. cumplir              (Prob: 0.009197)
  13. practicar            (Prob: 0.009197)
  14. uno                  (Prob: 0.009197)
  15. cuatro               (Prob: 0.009197)
  16. perfectamente        (Prob: 0.009197)
  17. garrot               (Prob: 0.009197)
  18. rabillo              (Prob: 0.004621)
  19. ardua                (Prob: 0.004621)
  20. capítulo             (Prob: 0.004621)

==================== TEMA 22 ====================
  1. poder                (Prob: 0.209839)
  2. prisionera           (Prob: 0.094237)
  3. lugar                (Prob: 0.051421)
  4. pesar                (Prob: 0.034295)
  5. rebaño               (Prob: 0.025732)
  6. mañana               (Prob: 0.017169)
  7. levantar             (Prob: 0.017169)
  8. trasladado           (Prob: 0.012887)
  9. reunir               (Prob: 0.012887)
  10. broma                (Prob: 0.008606)
  11. decisión             (Prob: 0.008606)
  12. tocábar              (Prob: 0.008606)
  13. murmurar             (Prob: 0.008606)
  14. fonógrafo            (Prob: 0.004324)
  15. vasto                (Prob: 0.004324)
  16. adelgazar            (Prob: 0.004324)
  17. amsterdam            (Prob: 0.004324)
  18. chiflado             (Prob: 0.004324)
  19. compás               (Prob: 0.004324)
  20. dominio              (Prob: 0.004324)

==================== TEMA 23 ====================
  1. grupo                (Prob: 0.122151)
  2. sano                 (Prob: 0.040751)
  3. observar             (Prob: 0.035663)
  4. interior             (Prob: 0.020401)
  5. repetir              (Prob: 0.020401)
  6. desarrollar          (Prob: 0.015313)
  7. nieve                (Prob: 0.015313)
  8. incidente            (Prob: 0.015313)
  9. día                  (Prob: 0.010226)
  10. acostumbrar          (Prob: 0.010226)
  11. útil                 (Prob: 0.010226)
  12. cometido             (Prob: 0.010226)
  13. simple               (Prob: 0.010226)
  14. maniobra             (Prob: 0.010226)
  15. doctora              (Prob: 0.010226)
  16. grado                (Prob: 0.010226)
  17. evacuatorio          (Prob: 0.010226)
  18. velo                 (Prob: 0.005138)
  19. papa                 (Prob: 0.005138)
  20. religioso            (Prob: 0.005138)

==================== TEMA 24 ====================
